Method,FAA,BWT,Task0_Acc,Task1_Acc,Task2_Acc
Naive Fine-tuning,0.4228119720823425,-0.6795358120676322,0.17994858611825193,0.1016260162601626,0.9868613138686131
EWC,0.4260772361537437,-0.6815369824649403,0.20308483290488433,0.08536585365853659,0.9897810218978103
LwF,0.46242955483051534,-0.4152768198633143,0.20565552699228792,0.2845528455284553,0.897080291970803
Experience Replay,0.49164446364595743,-0.2934980249545426,0.41131105398457585,0.21544715447154472,0.8481751824817518
Joint Training,0.14245598437070067,0.0,0.38046272493573263,0.044715447154471545,0.0021897810218978104
